datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/11 3:26:57,6.47,1256.99,427.710,0.0008,-63.89
2022/3/11 3:29:33,6.47,1256.64,430.773,0.0008,-64.35
2022/3/11 3:32:9,6.47,1256.05,424.802,0.0008,-64.14
2022/3/11 3:34:44,6.48,1256.13,428.901,0.0008,-63.81
2022/3/11 3:37:20,6.49,1255.40,436.871,0.0008,-64.83
2022/3/11 3:39:56,6.49,1254.33,435.281,0.0008,-64.53
2022/3/11 3:42:32,6.49,1253.76,441.339,0.0008,-64.53
2022/3/11 3:45:8,6.50,1252.83,441.076,0.0008,-64.53
2022/3/11 3:47:43,6.51,1252.07,440.446,0.0008,-64.27
2022/3/11 3:50:19,6.51,1251.65,443.377,0.0008,-64.01
2022/3/11 3:52:55,6.52,1251.12,442.470,0.0008,-64.10
2022/3/11 3:55:31,6.52,1251.14,440.904,0.0008,-64.27
2022/3/11 3:58:7,6.53,1250.98,449.201,0.0008,-64.18
2022/3/11 4:0:43,6.54,1249.81,451.843,0.0008,-63.85
